batch_idx:1, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1153, entropy: 5.3911
batch_idx:2, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1858, entropy: 5.3541
batch_idx:3, episode_len:110.0, tie: 0, black: 0, white: 0, loss: 5.3918, entropy: 5.3152
batch_idx:4, episode_len:56.0, tie: 0, black: 0, white: 0, loss: 5.4233, entropy: 5.3038
batch_idx:1, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0620, entropy: 5.3743
batch_idx:2, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1420, entropy: 5.3187
batch_idx:3, episode_len:85.0, tie: 0, black: 0, white: 0, loss: 5.2956, entropy: 5.2648
batch_idx:4, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.2269, entropy: 5.2330
batch_idx:5, episode_len:57.0, tie: 0, black: 0, white: 0, loss: 5.1589, entropy: 5.2027
batch_idx:6, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0763, entropy: 5.1213
batch_idx:7, episode_len:106.0, tie: 0, black: 0, white: 0, loss: 5.1279, entropy: 4.9956
batch_idx:8, episode_len:67.0, tie: 0, black: 0, white: 0, loss: 5.2034, entropy: 4.9943
batch_idx:9, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0697, entropy: 4.9608
batch_idx:10, episode_len:102.0, tie: 0, black: 0, white: 0, loss: 5.2185, entropy: 4.9602
batch_idx:11, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1797, entropy: 4.9741
batch_idx:12, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1631, entropy: 5.0306
batch_idx:13, episode_len:81.0, tie: 0, black: 0, white: 0, loss: 5.2795, entropy: 5.0687
batch_idx:14, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0763, entropy: 4.9901
batch_idx:15, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9885, entropy: 4.9886
batch_idx:16, episode_len:113.0, tie: 0, black: 0, white: 0, loss: 5.1191, entropy: 4.9932
batch_idx:17, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9744, entropy: 4.9430
batch_idx:18, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0184, entropy: 4.9716
batch_idx:19, episode_len:124.0, tie: 0, black: 0, white: 0, loss: 5.0667, entropy: 4.9819
batch_idx:20, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.1100, entropy: 4.9803
batch_idx:21, episode_len:124.0, tie: 0, black: 0, white: 0, loss: 5.1158, entropy: 4.9442
batch_idx:22, episode_len:43.0, tie: 0, black: 0, white: 0, loss: 5.1205, entropy: 4.9142
batch_idx:23, episode_len:43.0, tie: 0, black: 0, white: 0, loss: 5.0857, entropy: 4.9075
batch_idx:24, episode_len:64.0, tie: 0, black: 0, white: 0, loss: 5.0963, entropy: 4.9455
batch_idx:25, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8971, entropy: 4.8457
batch_idx:26, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 5.0649, entropy: 4.8456
batch_idx:27, episode_len:58.0, tie: 0, black: 0, white: 0, loss: 4.9491, entropy: 4.8985
batch_idx:28, episode_len:49.0, tie: 0, black: 0, white: 0, loss: 4.9637, entropy: 4.8738
batch_idx:29, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9787, entropy: 4.8769
batch_idx:30, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9491, entropy: 4.9611
batch_idx:31, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8936, entropy: 4.9337
batch_idx:32, episode_len:31.0, tie: 0, black: 0, white: 0, loss: 4.8858, entropy: 4.8568
batch_idx:33, episode_len:81.0, tie: 0, black: 0, white: 0, loss: 4.9447, entropy: 4.8384
batch_idx:34, episode_len:67.0, tie: 0, black: 0, white: 0, loss: 4.8903, entropy: 4.7874
batch_idx:35, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.9142, entropy: 4.8410
batch_idx:36, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8936, entropy: 4.9522
batch_idx:37, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 4.9341, entropy: 4.8781
batch_idx:38, episode_len:17.0, tie: 0, black: 0, white: 0, loss: 4.8518, entropy: 4.8039
batch_idx:39, episode_len:54.0, tie: 0, black: 0, white: 0, loss: 4.8511, entropy: 4.8529
batch_idx:40, episode_len:54.0, tie: 0, black: 0, white: 0, loss: 4.8765, entropy: 4.7974
batch_idx:41, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8632, entropy: 4.7525
batch_idx:42, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8936, entropy: 4.7689
batch_idx:43, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8041, entropy: 4.8718
batch_idx:44, episode_len:125.0, tie: 0, black: 0, white: 0, loss: 4.8528, entropy: 4.7552
batch_idx:45, episode_len:127.0, tie: 0, black: 0, white: 0, loss: 4.9665, entropy: 4.7725
batch_idx:46, episode_len:61.0, tie: 0, black: 0, white: 0, loss: 4.9831, entropy: 4.8323
batch_idx:47, episode_len:28.0, tie: 0, black: 0, white: 0, loss: 4.8620, entropy: 4.8257
batch_idx:48, episode_len:28.0, tie: 0, black: 0, white: 0, loss: 4.9669, entropy: 4.7921
batch_idx:49, episode_len:28.0, tie: 0, black: 0, white: 0, loss: 4.8571, entropy: 4.8062
batch_idx:50, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7876, entropy: 4.7816
batch_idx:51, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.8149, entropy: 4.7273
batch_idx:52, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7316, entropy: 4.6768
batch_idx:53, episode_len:75.0, tie: 0, black: 0, white: 0, loss: 4.7112, entropy: 4.6736
batch_idx:54, episode_len:37.0, tie: 0, black: 0, white: 0, loss: 4.6612, entropy: 4.6655
batch_idx:55, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7536, entropy: 4.7171
batch_idx:56, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.7610, entropy: 4.8248
batch_idx:57, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.7751, entropy: 4.7564
batch_idx:58, episode_len:29.0, tie: 0, black: 0, white: 0, loss: 4.7006, entropy: 4.5653
batch_idx:59, episode_len:29.0, tie: 0, black: 0, white: 0, loss: 4.6971, entropy: 4.6126
batch_idx:60, episode_len:119.0, tie: 0, black: 0, white: 0, loss: 4.6657, entropy: 4.5740
batch_idx:61, episode_len:69.0, tie: 0, black: 0, white: 0, loss: 4.5798, entropy: 4.5508
batch_idx:62, episode_len:109.0, tie: 0, black: 0, white: 0, loss: 4.4769, entropy: 4.3849
batch_idx:63, episode_len:37.0, tie: 0, black: 0, white: 0, loss: 4.5479, entropy: 4.3403
batch_idx:64, episode_len:37.0, tie: 0, black: 0, white: 0, loss: 4.3898, entropy: 4.2653
batch_idx:65, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3535, entropy: 4.1741
batch_idx:66, episode_len:104.0, tie: 0, black: 0, white: 0, loss: 4.4729, entropy: 4.2188
batch_idx:67, episode_len:31.0, tie: 0, black: 0, white: 0, loss: 4.3100, entropy: 4.1788
batch_idx:68, episode_len:31.0, tie: 0, black: 0, white: 0, loss: 4.3208, entropy: 4.1272
batch_idx:69, episode_len:31.0, tie: 0, black: 0, white: 0, loss: 4.0869, entropy: 4.0672
batch_idx:70, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2662, entropy: 4.1115
batch_idx:71, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4205, entropy: 4.3340
batch_idx:72, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5779, entropy: 4.5024
batch_idx:73, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4585, entropy: 4.4152
batch_idx:74, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.6278, entropy: 4.6247
batch_idx:75, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.6280, entropy: 4.7453
batch_idx:76, episode_len:69.0, tie: 0, black: 0, white: 0, loss: 4.7036, entropy: 4.6640
batch_idx:77, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5643, entropy: 4.6697
batch_idx:78, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5750, entropy: 4.6019
batch_idx:79, episode_len:95.0, tie: 0, black: 0, white: 0, loss: 4.5643, entropy: 4.5041
batch_idx:80, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4282, entropy: 4.4278
batch_idx:81, episode_len:51.0, tie: 0, black: 0, white: 0, loss: 4.5180, entropy: 4.4522
batch_idx:82, episode_len:48.0, tie: 0, black: 0, white: 0, loss: 4.4486, entropy: 4.3720
batch_idx:83, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4960, entropy: 4.3749
batch_idx:84, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5118, entropy: 4.4243
batch_idx:85, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4375, entropy: 4.4474
batch_idx:86, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3771, entropy: 4.3886
batch_idx:87, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4783, entropy: 4.4579
batch_idx:88, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.5638, entropy: 4.5926
batch_idx:89, episode_len:64.0, tie: 0, black: 0, white: 0, loss: 4.5530, entropy: 4.5612
batch_idx:90, episode_len:19.0, tie: 0, black: 0, white: 0, loss: 4.4427, entropy: 4.4957
batch_idx:91, episode_len:33.0, tie: 0, black: 0, white: 0, loss: 4.4269, entropy: 4.4308
batch_idx:92, episode_len:33.0, tie: 0, black: 0, white: 0, loss: 4.3563, entropy: 4.3406
batch_idx:93, episode_len:71.0, tie: 0, black: 0, white: 0, loss: 4.3330, entropy: 4.2045
batch_idx:94, episode_len:87.0, tie: 0, black: 0, white: 0, loss: 4.4643, entropy: 4.2270
batch_idx:95, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2678, entropy: 4.2407
batch_idx:96, episode_len:96.0, tie: 0, black: 0, white: 0, loss: 4.3959, entropy: 4.1441
batch_idx:97, episode_len:71.0, tie: 0, black: 0, white: 0, loss: 4.5260, entropy: 4.1181
batch_idx:98, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.2698, entropy: 4.1848
batch_idx:99, episode_len:55.0, tie: 0, black: 0, white: 0, loss: 4.4336, entropy: 4.2328
batch_idx:100, episode_len:54.0, tie: 0, black: 0, white: 0, loss: 4.2936, entropy: 4.1351
batch_idx:101, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4700, entropy: 4.1802
batch_idx:102, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.3591, entropy: 4.1444
batch_idx:103, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.4728, entropy: 4.2981
batch_idx:104, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3909, entropy: 4.2995
batch_idx:105, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.4900, entropy: 4.4281
batch_idx:106, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3128, entropy: 4.3878
batch_idx:107, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.4453, entropy: 4.3672
batch_idx:108, episode_len:52.0, tie: 0, black: 0, white: 0, loss: 4.3893, entropy: 4.3648
batch_idx:109, episode_len:61.0, tie: 0, black: 0, white: 0, loss: 4.3852, entropy: 4.3351
batch_idx:110, episode_len:225.0, tie: 0, black: 0, white: 0, loss: 4.3996, entropy: 4.2909
batch_idx:111, episode_len:26.0, tie: 0, black: 0, white: 0, loss: 4.5438, entropy: 4.3486
